Time,August,July,June,May,April,March,February,January
1,44.99,37.19,48.97,47.01,49.97,45,40.02,43.91
2,37.8,33.05,44.95,42,44,34.99,33,33.82
3,35.2,29.55,37.44,38,32.23,29.97,32.09,33.23
4,34.55,27.11,35.99,34,27.94,27.74,29.96,31.95
5,32.99,29.16,34.09,32.48,24,26.48,29.98,32.47
6,33.2,31.94,34,33.19,22.76,26.49,29.95,33.08
7,34.75,33.93,30.98,32.46,28.14,27.9,29.99,33.52
8,40.1,42.04,30.98,33.36,34.96,35.54,35.01,38.01
9,35.94,35.03,30.44,33.94,33.8,33.79,33.66,35.95
10,47.04,36.91,37.45,46.21,42.74,44.91,49.84,56.65
11,55.1,47.2,36.27,50,50.68,50.01,63.32,53.04
12,50.88,47.03,37.99,46.78,44.07,44,55,48.34
13,51.8,42.09,37.99,45.59,40,44.22,50,45.62
14,51.8,44.82,39.75,35.88,38.69,38.49,44.38,38.99
15,45.4,45,34.2,33.15,34.69,37,33.08,34.54
16,41.66,42.02,31.89,29.99,33.41,33.8,33.51,34.03
17,41.53,41.24,31.89,29.94,31.19,36.8,34.54,34.01
18,52.61,45.95,32.92,31.45,33.19,46.19,44.67,45
19,55.01,59.37,39.17,35,42.83,54.38,46,56.93
20,57.98,65.44,44.42,45.25,54.28,55.99,46,60
21,45.53,54.9,51.9,52.96,50,49.9,51.54,53.05
22,37,49,51.97,52.9,46.34,45.52,35,46.1
23,36,44.84,59.92,52.99,50,48.6,35.93,41.96
24,34.42,34.92,36.96,47,37.58,35,32.81,34.52
